farmID,farmName,country,region,altitude,processingMethod
F117,menglian county nayun town mangzhang coffee farm,China,yunnan,1400,Natural / Dry
F118,jacksom mwasenga,"Tanzania, United Republic Of",shizingo village,1620,Washed / Wet
F119,suma jkt itende,"Tanzania, United Republic Of",mbeya,1600,Washed / Wet
F120,pante carajillo,Mexico,san pedro cotzilnam,1450,Semi-washed / Semi-pulped
F121,finca los barreales,Mexico,veracruz,1170,Washed / Wet
F122,finca santa teresa,Mexico,"la concordia, chiapas",1400,Washed / Wet
F123,piamonte,Guatemala,san marcos,1700,Washed / Wet
F124,los girasoles,Costa Rica,tarrazu,1700,Washed / Wet
F125,finca la joya,Guatemala,huehuetenango,1117,Washed / Wet
F126,santo tomas pachuj,Guatemala,solola,1565,Washed / Wet
F127,chapultepec,Guatemala,norte,3280,Washed / Wet
F128,las nubes,Nicaragua,jinotega,1000,Natural / Dry
F129,pantano,Brazil,cerrado,1150,Natural / Dry
F130,gamboa,Costa Rica,tarrazu,1850,Washed / Wet
F131,asefa dukamo coffee plantation,Ethiopia,snnprg; kafa; telo woreda; shada kebele,1606,Natural / Dry
F132,selian coffee estate,"Tanzania, United Republic Of",arusha,1400,Washed / Wet
F133,café do paraíso,Brazil,"minas gerais, br",1038,Natural / Dry
F134,la union monte verde,Guatemala,oriente,1311,Washed / Wet
F135,el limon,Guatemala,guatemala,995,Natural / Dry
F136,"mus, eman",Indonesia,aceh tengah,807,Natural / Dry
F137,chang yu liang 張玉良,Taiwan,"nanxi dist., tainan city 臺南市楠西區",968,Washed / Wet
F138,aprocafi,Guatemala,"aldea xeucalvitz, ixil region, quiche department",1550,Washed / Wet
F139,la lagunilla,Mexico,santo domingo cacalotepec,1480,Washed / Wet
F140,kerchanshe,Ethiopia,sidamo,1800,Natural / Dry
F141,finca los cerros y anexos,Guatemala,huehuetenango,1707,Washed / Wet
F142,fazenda rio verde,Brazil,south of minas,1260,Natural / Dry
F143,doi tung development project,Thailand,thailand,2182,Washed / Wet
F144,-,Kenya,central kenya,1650,Washed / Wet
F145,fazenda capoeirnha,Brazil,south of minas,890,Natural / Dry
F146,cafetal,Mexico,veracruz,1300,Washed / Wet
F147,saveg coffee farm,Thailand,chiangrai,1350,Natural / Dry
F148,capoeirinha,Brazil,south of minas,934,Natural / Dry
F149,very famous intl.名門義理國際股份有限公司,Taiwan,台灣,940,Natural / Dry
F150,神谷山莊園,Taiwan,台中和平區,950,Washed / Wet
F151,finca cuetzalingo,Mexico,xicotepec de juarez,900,Washed / Wet
F152,finca sant rosa,Mexico,la concordia,1500,Washed / Wet
F153,comunidad la yerbabuena,Mexico,la yerbabuena,1400,Washed / Wet
F154,優遊吧斯股份有限公司yuyupas international corp.,Taiwan,台灣,1200,Washed / Wet
F155,rio verde,Brazil,south of minas,1,Natural / Dry
F156,鄉舍咖啡 hometown coffee,Taiwan,"dongshan dist., tainan city 臺南市東山區",525,Washed / Wet
F157,finca el trueno,Ecuador,"province of manabi, ecuador",800,Natural / Dry
F158,finca el morito,Guatemala,oriente,1311,Washed / Wet
F159,predio cañada del encino,Mexico,petatlan,1218,Natural / Dry
F160,fazenda do sertao,Brazil,carmo de minas,1250,Semi-washed / Semi-pulped
F161,"doi chaang coffee original co.,ltd",Thailand,"doi chaang village, chiang rai, thialand",1500,Washed / Wet
F162,崁頭山咖啡館 (kan tou mountain coffee),Taiwan,"台南市東山區 (dongshan dist., tainan city)",750,Natural / Dry
F163,pu’er specialty coffee cupping center,China,yunnan,1650,Washed / Wet
F164,erussi farmers group,Uganda,west nile,1400,Natural / Dry
F165,hacienda caracolillo,United States (Puerto Rico),yauco region,853,Washed / Wet
F166,naranjal,Mexico,"huazalingo, hidalgo",700,Natural / Dry
F167,several farms,Guatemala,quetzaltenango,1300,Washed / Wet
F168,santa matilde,Nicaragua,jinotega,1250,Washed / Wet
F169,finca las cuevitas,Guatemala,huehuetenango,1357,Washed / Wet
F170,finca quequesquez,Guatemala,oriente,1450,Natural / Dry
F171,finca apoxtla,Mexico,xicotepec de juarez,1100,Washed / Wet
F172,"ijen highland, east java",Indonesia,east java,1400,Washed / Wet
F173,finca santa clara,Guatemala,huehuetenango,1128,Washed / Wet
F174,menglian mang pan professional cooperative,China,yunnan,1100,Washed / Wet
F175,exportadora café california,Mexico,"chiapas, jaltenango",1200,Washed / Wet
F176,lomi tasha,Ethiopia,yirgacheffe,1850,Washed / Wet
F177,bulamburi coffee farmers,Uganda,eastern,1800,Washed / Wet
F178,dragon coffee 龍咖啡,Taiwan,taichung xinshe 台中市新社區,1000,Other
F179,ojo de agua,Mexico,xalapa,1000,Washed / Wet
F180,fazenda jericó,Brazil,south of minas,1100,Semi-washed / Semi-pulped
F181,南投縣魚池鄉水社村中正路63-1號,Taiwan,Unknown,1121,Washed / Wet
F182,la esperanza,Guatemala,oriente,1219,Washed / Wet
F183,ano family,"Tanzania, United Republic Of",nkure- meru,1400,Washed / Wet
F184,yusrin,Indonesia,bener meriah,1500,Semi-washed / Semi-pulped
F185,several,Guatemala,atitlan,1400,Washed / Wet
F186,finca los barreales 1112lban,Mexico,xalapa,1170,Natural / Dry
F187,la corralera,Mexico,totutla,1400,Washed / Wet
F188,conquista / morito,Guatemala,oriente,1402,Washed / Wet
F189,pancoer angkrek,Indonesia,bondowoso,1600,Washed / Wet
F190,日月潭文武莊園,Taiwan,Unknown,1411,Washed / Wet
F191,bulago & buginyanya,Uganda,eastern,1800,Washed / Wet
F192,la joya,El Salvador,apaneca,1330,Washed / Wet
F193,cachoeira da grama farm,Brazil,vale da grama,1458,Semi-washed / Semi-pulped
F194,ngila estate,"Tanzania, United Republic Of",karatu northern,1600,Washed / Wet
F195,ecc,Mexico,chiapas,1200,Washed / Wet
F196,mondul coffee estate,"Tanzania, United Republic Of",arusha,1700,Semi-washed / Semi-pulped
F197,el pino,Mexico,veracruz,1100,Washed / Wet
F198,marre blanche,Haiti,"thiotte, haiti",1280,Washed / Wet
F199,sogestal kayanza,Burundi,kayanza,1880,Washed / Wet
F200,corta pico,Mexico,sierra madre occidental,1600,Washed / Wet
