lotID,supplierID,farmID,beanID,arrivalDate,quantityKg,costPerKg,remainingKg
BL0074,S193,F109,B103,2011-12-03,300.0,9.96,300.0
BL0075,S176,F104,B052,2010-05-31,2.0,13.96,2.0
BL0076,S200,F155,B176,2016-04-06,180.0,10.03,180.0
BL0077,S092,F169,B181,2015-05-23,1080.0,7.51,1080.0
BL0078,S104,F175,B091,2014-05-01,340.0,9.52,340.0
BL0079,S013,F148,B140,2014-05-01,340.0,14.43,340.0
BL0080,S130,F010,B119,2013-04-19,1200.0,14.28,1200.0
BL0081,S167,F100,B055,2013-03-12,18000.0,9.66,18000.0
BL0082,S030,F092,B181,2010-06-17,2160.0,16.04,2160.0
BL0083,S029,F089,B005,2010-06-17,1800.0,11.55,1800.0
BL0084,S138,F080,B200,2016-04-27,17250.0,10.39,17250.0
BL0085,S071,F193,B013,2015-04-08,19250.0,17.95,19250.0
BL0086,S003,F082,B096,2014-01-17,17500.0,12.0,17500.0
BL0087,S091,F026,B158,2012-11-26,3240.0,9.86,3240.0
BL0088,S056,F047,B028,2012-01-18,250.0,7.38,250.0
BL0089,S161,F071,B176,2016-08-09,6144000.0,8.97,6144000.0
BL0090,S029,F125,B083,2015-08-18,17500.0,12.97,17500.0
BL0091,S128,F074,B065,2014-10-07,6000.0,5.37,6000.0
BL0092,S054,F074,B066,2014-03-10,544.32,6.4,544.32
BL0093,S083,F159,B067,2012-03-16,17500.0,9.79,17500.0
BL0094,S036,F156,B161,2010-12-27,589.68,6.51,589.68
BL0095,S112,F142,B108,2010-06-17,2160.0,13.53,2160.0
BL0096,S069,F197,B142,2010-05-17,0.0,11.67,0.0
BL0097,S016,F161,B066,2017-07-24,12000.0,15.06,12000.0
BL0098,S049,F014,B006,2017-02-15,9450.0,13.1,9450.0
BL0099,S197,F189,B008,2017-01-30,1656.0,7.56,1656.0
BL0100,S181,F145,B148,2016-09-21,30.0,11.37,30.0
BL0101,S110,F048,B019,2016-05-07,10200.0,11.08,10200.0
BL0102,S117,F094,B040,2013-04-19,2280.0,6.86,2280.0
BL0103,S057,F138,B173,2012-02-29,1860.0,14.46,1860.0
BL0104,S026,F183,B018,2011-04-06,1.0,7.23,1.0
BL0105,S085,F029,B066,2011-02-24,680.4,16.57,680.4
BL0106,S096,F047,B097,2010-09-07,18975.0,14.29,18975.0
BL0107,S051,F034,B026,2016-11-25,17010.0,8.16,17010.0
BL0108,S138,F109,B049,2015-10-26,17640.0,10.39,17640.0
BL0109,S158,F199,B082,2015-06-09,800.0,10.89,800.0
BL0110,S155,F130,B139,2014-12-12,8040.0,16.1,8040.0
BL0111,S026,F105,B170,2012-12-11,3500.0,7.74,3500.0
BL0112,S167,F157,B175,2012-07-11,25.0,14.37,25.0
BL0113,S178,F161,B021,2011-12-23,240.0,13.06,240.0
BL0114,S119,F163,B009,2011-12-03,600.0,10.27,600.0
BL0115,S059,F189,B195,2010-08-26,19200.0,9.35,19200.0
BL0116,S136,F146,B073,2016-05-18,200.0,16.95,200.0
BL0117,S029,F165,B072,2014-06-30,60.0,9.26,60.0
BL0118,S024,F127,B145,2012-04-06,635.04,16.79,635.04
BL0119,S036,F011,B195,2010-06-17,1800.0,14.77,1800.0
BL0120,S161,F046,B194,2010-06-17,1800.0,5.21,1800.0
BL0121,S005,F095,B091,2016-06-27,2500.0,13.9,2500.0
BL0122,S010,F119,B187,2015-06-02,9000.0,5.78,9000.0
BL0123,S157,F057,B092,2014-04-25,275.0,10.19,275.0
BL0124,S128,F141,B091,2011-08-23,17250.0,16.85,17250.0
BL0125,S138,F034,B054,2010-05-31,12.0,16.9,12.0
BL0126,S106,F114,B130,2017-06-26,10350.0,9.37,10350.0
BL0127,S049,F137,B161,2016-11-24,2.0,10.68,2.0
BL0128,S125,F180,B131,2016-11-02,20.0,11.3,20.0
BL0129,S128,F198,B199,2016-10-04,1035.0,10.42,1035.0
BL0130,S110,F069,B109,2016-06-01,4080.0,15.58,4080.0
BL0131,S102,F063,B055,2015-07-06,22.5,5.97,22.5
BL0132,S067,F006,B064,2015-05-23,7500.0,9.63,7500.0
BL0133,S164,F109,B110,2015-05-23,1380.0,6.03,1380.0
BL0134,S057,F116,B183,2014-03-05,275.0,7.66,275.0
BL0135,S059,F072,B031,2014-01-03,2.0,8.62,2.0
BL0136,S125,F183,B163,2013-12-26,300.0,17.15,300.0
BL0137,S081,F162,B153,2013-12-20,17500.0,6.23,17500.0
BL0138,S063,F007,B136,2012-09-16,14100.0,11.57,14100.0
BL0139,S134,F128,B115,2012-07-17,250.0,14.22,250.0
BL0140,S067,F189,B075,2012-07-03,125.0,16.37,125.0
BL0141,S163,F088,B095,2012-07-02,80.0,17.72,80.0
BL0142,S129,F181,B163,2012-02-13,19200.0,6.4,19200.0
BL0143,S147,F189,B077,2011-06-14,60.0,16.46,60.0
BL0144,S103,F060,B025,2010-06-17,1800.0,16.93,1800.0
BL0145,S053,F096,B027,2018-01-11,3960.0,13.07,3960.0
BL0146,S085,F186,B044,2017-01-10,17500.0,6.51,17500.0
BL0147,S181,F094,B139,2016-12-28,8750.0,13.35,8750.0
BL0148,S072,F034,B026,2014-07-21,6000.0,17.66,6000.0
BL0149,S017,F171,B012,2014-05-29,17250.0,16.62,17250.0
BL0150,S091,F084,B185,2014-03-24,17250.0,16.4,17250.0
BL0151,S159,F082,B011,2013-12-20,17500.0,14.66,17500.0
BL0152,S038,F129,B162,2013-12-06,5250.0,12.67,5250.0
BL0153,S195,F132,B018,2013-08-30,7260.0,6.83,7260.0
BL0154,S031,F157,B175,2013-07-17,17500.0,14.7,17500.0
BL0155,S130,F043,B037,2013-03-12,1.0,10.44,1.0
BL0156,S043,F148,B048,2012-10-09,17500.0,6.38,17500.0
BL0157,S089,F178,B098,2011-12-23,2220.0,16.71,2220.0
BL0158,S144,F057,B169,2011-12-03,2100.0,5.9,2100.0
BL0159,S039,F078,B017,2017-11-28,5218125.0,7.27,5218125.0
BL0160,S172,F170,B112,2017-03-14,2400000.0,8.37,2400000.0
BL0161,S196,F154,B023,2016-04-06,180.0,15.81,180.0
BL0162,S199,F101,B145,2015-07-06,112.5,15.85,112.5
BL0163,S039,F161,B079,2015-06-05,550.0,14.62,550.0
BL0164,S093,F074,B168,2014-06-16,2.0,9.3,2.0
BL0165,S111,F137,B161,2013-02-26,17250.0,8.28,17250.0
BL0166,S018,F198,B133,2012-09-16,14100.0,12.73,14100.0
BL0167,S098,F040,B028,2012-07-11,56.0,17.37,56.0
BL0168,S043,F051,B025,2012-06-06,250.0,12.03,250.0
BL0169,S009,F172,B038,2012-02-16,17250.0,14.79,17250.0
BL0170,S099,F194,B189,2011-03-23,1620.0,16.65,1620.0
BL0171,S114,F020,B102,2011-03-22,19200.0,12.75,19200.0
BL0172,S028,F196,B157,2017-03-23,18975.0,12.26,18975.0
BL0173,S067,F115,B134,2017-03-14,6000.0,16.24,6000.0
BL0174,S114,F042,B084,2016-01-25,10640.0,7.5,10640.0
BL0175,S052,F077,B090,2014-07-09,19250.0,7.91,19250.0
BL0176,S138,F095,B130,2013-07-10,4.0,10.88,4.0
BL0177,S072,F143,B065,2013-01-21,226.8,14.88,226.8
BL0178,S063,F060,B188,2012-06-06,69.0,9.41,69.0
BL0179,S101,F031,B157,2010-06-17,2160.0,11.98,2160.0
BL0180,S047,F122,B005,2017-08-03,9000.0,5.25,9000.0
BL0181,S102,F104,B098,2017-05-11,18150.0,16.55,18150.0
BL0182,S024,F151,B080,2017-02-20,19250.0,14.1,19250.0
BL0183,S138,F031,B046,2016-04-04,18975.0,11.86,18975.0
BL0184,S088,F098,B129,2016-02-16,19250.0,17.4,19250.0
BL0185,S070,F102,B126,2015-04-29,17500.0,11.81,17500.0
BL0186,S013,F159,B073,2013-07-19,19250.0,5.51,19250.0
BL0187,S101,F029,B126,2012-07-27,8000.0,9.11,8000.0
BL0188,S073,F036,B001,2011-10-28,4500.0,16.32,4500.0
BL0189,S094,F015,B179,2011-10-28,4800.0,8.65,4800.0
BL0190,S171,F136,B200,2011-06-14,59.87,17.48,59.87
BL0191,S163,F024,B190,2010-04-30,250.0,16.15,250.0
BL0192,S200,F165,B121,2017-08-10,50.0,5.83,50.0
BL0193,S096,F147,B021,2016-11-02,500.0,16.87,500.0
BL0194,S149,F136,B105,2016-08-05,19250.0,6.12,19250.0
BL0195,S151,F018,B140,2016-05-23,15870.0,13.41,15870.0
BL0196,S029,F173,B167,2016-04-06,18975.0,12.36,18975.0
BL0197,S142,F198,B199,2016-04-06,180.0,6.7,180.0
BL0198,S002,F024,B154,2015-11-19,19250.0,6.15,19250.0
BL0199,S038,F076,B155,2015-10-26,17360.0,13.56,17360.0
BL0200,S092,F022,B104,2015-06-05,550.0,6.14,550.0
