profileID,profileName,roastLevel,durationMinutes,temperatureCurve
RP107,Medium-Light Profile 107,Medium-Light,11.9,185→205→212°C
RP108,Medium-Light Profile 108,Medium-Light,11.9,185→205→212°C
RP109,Medium-Light Profile 109,Medium-Light,11.7,185→205→212°C
RP110,Light Profile 110,Light,10.7,180→200→205°C
RP111,Light Profile 111,Light,9.9,180→200→205°C
RP112,Medium-Light Profile 112,Medium-Light,10.8,185→205→212°C
RP113,Medium-Light Profile 113,Medium-Light,10.4,185→205→212°C
RP114,Medium-Light Profile 114,Medium-Light,11.8,185→205→212°C
RP115,Medium-Light Profile 115,Medium-Light,10.4,185→205→212°C
RP116,Medium-Light Profile 116,Medium-Light,10.8,185→205→212°C
RP117,Light Profile 117,Light,9.6,180→200→205°C
RP118,Light Profile 118,Light,10.1,180→200→205°C
RP119,Light Profile 119,Light,9.6,180→200→205°C
RP120,Medium-Light Profile 120,Medium-Light,11.1,185→205→212°C
RP121,Medium-Light Profile 121,Medium-Light,10.7,185→205→212°C
RP122,Medium-Light Profile 122,Medium-Light,11.3,185→205→212°C
RP123,Medium-Light Profile 123,Medium-Light,10.8,185→205→212°C
RP124,Medium-Light Profile 124,Medium-Light,11.0,185→205→212°C
RP125,Medium-Light Profile 125,Medium-Light,11.6,185→205→212°C
RP126,Medium-Light Profile 126,Medium-Light,11.8,185→205→212°C
RP127,Medium-Light Profile 127,Medium-Light,11.8,185→205→212°C
RP128,Medium-Light Profile 128,Medium-Light,11.7,185→205→212°C
RP129,Medium-Light Profile 129,Medium-Light,10.3,185→205→212°C
RP130,Medium-Light Profile 130,Medium-Light,10.7,185→205→212°C
RP131,Medium Profile 131,Medium,11.4,190→210→218°C
RP132,Medium-Light Profile 132,Medium-Light,11.0,185→205→212°C
RP133,Medium-Light Profile 133,Medium-Light,11.2,185→205→212°C
RP134,Medium-Light Profile 134,Medium-Light,10.8,185→205→212°C
RP135,Medium-Light Profile 135,Medium-Light,10.4,185→205→212°C
RP136,Medium-Light Profile 136,Medium-Light,11.8,185→205→212°C
RP137,Medium-Light Profile 137,Medium-Light,10.8,185→205→212°C
RP138,Medium Profile 138,Medium,12.1,190→210→218°C
RP139,Medium Profile 139,Medium,12.6,190→210→218°C
RP140,Medium-Light Profile 140,Medium-Light,11.4,185→205→212°C
RP141,Medium-Light Profile 141,Medium-Light,10.7,185→205→212°C
RP142,Medium-Light Profile 142,Medium-Light,11.4,185→205→212°C
RP143,Light Profile 143,Light,9.3,180→200→205°C
RP144,Medium-Light Profile 144,Medium-Light,10.5,185→205→212°C
RP145,Medium-Light Profile 145,Medium-Light,12.0,185→205→212°C
RP146,Medium-Light Profile 146,Medium-Light,10.1,185→205→212°C
RP147,Light Profile 147,Light,10.5,180→200→205°C
RP148,Light Profile 148,Light,10.6,180→200→205°C
RP149,Medium-Light Profile 149,Medium-Light,10.6,185→205→212°C
RP150,Medium-Light Profile 150,Medium-Light,10.2,185→205→212°C
RP151,Light Profile 151,Light,9.1,180→200→205°C
RP152,Medium-Light Profile 152,Medium-Light,10.4,185→205→212°C
RP153,Medium-Light Profile 153,Medium-Light,10.3,185→205→212°C
RP154,Medium Profile 154,Medium,12.2,190→210→218°C
RP155,Medium-Light Profile 155,Medium-Light,10.5,185→205→212°C
RP156,Light Profile 156,Light,11.0,180→200→205°C
RP157,Medium Profile 157,Medium,13.2,190→210→218°C
RP158,Medium-Light Profile 158,Medium-Light,10.7,185→205→212°C
RP159,Medium-Light Profile 159,Medium-Light,10.7,185→205→212°C
RP160,Medium-Light Profile 160,Medium-Light,11.8,185→205→212°C
RP161,Medium-Light Profile 161,Medium-Light,11.3,185→205→212°C
RP162,Medium-Light Profile 162,Medium-Light,11.2,185→205→212°C
RP163,Light Profile 163,Light,10.0,180→200→205°C
RP164,Light Profile 164,Light,9.5,180→200→205°C
RP165,Medium Profile 165,Medium,11.2,190→210→218°C
RP166,Medium-Dark Profile 166,Medium-Dark,14.4,195→215→224°C
RP167,Medium Profile 167,Medium,12.3,190→210→218°C
RP168,Medium-Light Profile 168,Medium-Light,11.8,185→205→212°C
RP169,Medium-Light Profile 169,Medium-Light,11.3,185→205→212°C
RP170,Medium-Light Profile 170,Medium-Light,11.9,185→205→212°C
RP171,Medium-Light Profile 171,Medium-Light,11.5,185→205→212°C
RP172,Medium-Light Profile 172,Medium-Light,11.6,185→205→212°C
RP173,Medium-Light Profile 173,Medium-Light,11.3,185→205→212°C
RP174,Medium-Light Profile 174,Medium-Light,11.5,185→205→212°C
RP175,Medium-Light Profile 175,Medium-Light,11.2,185→205→212°C
RP176,Light Profile 176,Light,10.4,180→200→205°C
RP177,Medium-Light Profile 177,Medium-Light,10.2,185→205→212°C
RP178,Medium-Light Profile 178,Medium-Light,10.6,185→205→212°C
RP179,Medium-Light Profile 179,Medium-Light,11.6,185→205→212°C
RP180,Medium-Light Profile 180,Medium-Light,11.3,185→205→212°C
RP181,Medium-Light Profile 181,Medium-Light,10.7,185→205→212°C
RP182,Medium-Light Profile 182,Medium-Light,12.0,185→205→212°C
RP183,Light Profile 183,Light,10.9,180→200→205°C
RP184,Medium-Light Profile 184,Medium-Light,11.0,185→205→212°C
RP185,Medium-Light Profile 185,Medium-Light,10.4,185→205→212°C
RP186,Medium-Light Profile 186,Medium-Light,10.7,185→205→212°C
RP187,Medium-Light Profile 187,Medium-Light,11.2,185→205→212°C
RP188,Medium-Light Profile 188,Medium-Light,11.8,185→205→212°C
RP189,Medium-Dark Profile 189,Medium-Dark,14.7,195→215→224°C
RP190,Medium-Light Profile 190,Medium-Light,10.8,185→205→212°C
RP191,Medium-Light Profile 191,Medium-Light,10.0,185→205→212°C
RP192,Medium Profile 192,Medium,11.3,190→210→218°C
RP193,Medium-Light Profile 193,Medium-Light,11.8,185→205→212°C
RP194,Medium-Light Profile 194,Medium-Light,11.9,185→205→212°C
RP195,Medium Profile 195,Medium,12.7,190→210→218°C
RP196,Medium Profile 196,Medium,13.6,190→210→218°C
RP197,Medium-Light Profile 197,Medium-Light,10.3,185→205→212°C
RP198,Light Profile 198,Light,10.2,180→200→205°C
RP199,Medium-Light Profile 199,Medium-Light,11.0,185→205→212°C
RP200,Medium Profile 200,Medium,12.7,190→210→218°C
