batchID,lotID,quantityUsedKg
RB0056,BL0174,62.68
RB0057,BL0169,69.29
RB0058,BL0086,104.24
RB0059,BL0190,278.12
RB0060,BL0200,95.65
RB0061,BL0162,263.76
RB0062,BL0052,216.0
RB0063,BL0151,127.91
RB0063,BL0013,85.27
RB0064,BL0082,42.12
RB0065,BL0192,240.35
RB0066,BL0122,191.53
RB0067,BL0018,67.2
RB0067,BL0111,44.8
RB0068,BL0166,251.53
RB0069,BL0097,145.55
RB0069,BL0151,97.04
RB0070,BL0170,156.07
RB0070,BL0142,104.05
RB0071,BL0197,177.88
RB0072,BL0147,131.36
RB0072,BL0044,87.58
RB0073,BL0145,110.71
RB0074,BL0191,113.29
RB0074,BL0076,75.53
RB0075,BL0152,231.18
RB0076,BL0105,94.94
RB0077,BL0188,38.82
RB0078,BL0004,201.41
RB0079,BL0040,236.0
RB0080,BL0125,119.53
RB0081,BL0066,210.12
RB0082,BL0046,158.94
RB0083,BL0023,73.65
RB0084,BL0090,104.68
RB0084,BL0133,69.79
RB0085,BL0159,122.94
RB0086,BL0183,88.24
RB0087,BL0051,148.31
RB0087,BL0196,98.87
RB0088,BL0198,179.88
RB0089,BL0061,101.65
RB0090,BL0083,136.59
RB0091,BL0155,207.41
RB0092,BL0026,267.88
RB0093,BL0178,40.71
RB0094,BL0123,94.94
RB0095,BL0085,106.47
RB0096,BL0157,170.75
RB0096,BL0112,113.84
RB0097,BL0136,269.65
RB0098,BL0074,41.76
RB0099,BL0165,124.45
RB0099,BL0014,82.96
RB0100,BL0181,47.08
RB0100,BL0125,31.39
RB0101,BL0015,183.29
RB0102,BL0193,290.24
RB0103,BL0060,33.53
RB0103,BL0199,22.35
RB0104,BL0123,263.41
RB0105,BL0102,80.12
RB0106,BL0192,254.12
RB0107,BL0003,276.24
RB0108,BL0113,132.47
RB0109,BL0086,173.51
RB0109,BL0101,115.67
RB0110,BL0114,246.59
RB0111,BL0012,237.41
RB0112,BL0014,154.0
RB0113,BL0050,178.94
RB0114,BL0025,261.88
RB0115,BL0095,233.41
RB0116,BL0042,150.35
RB0117,BL0136,48.64
RB0117,BL0044,32.42
RB0118,BL0148,33.76
RB0119,BL0069,220.59
RB0120,BL0175,150.0
RB0121,BL0173,160.24
RB0122,BL0107,47.23
RB0122,BL0063,31.48
RB0123,BL0177,186.24
RB0124,BL0053,254.59
RB0125,BL0010,83.44
RB0125,BL0105,55.62
RB0126,BL0009,149.41
RB0127,BL0154,102.43
RB0127,BL0009,68.28
RB0128,BL0086,185.88
RB0129,BL0131,154.8
RB0129,BL0135,103.2
RB0130,BL0142,133.65
RB0131,BL0134,126.59
RB0132,BL0124,37.97
RB0132,BL0115,25.32
RB0133,BL0149,38.33
RB0133,BL0075,25.55
RB0134,BL0030,28.59
RB0134,BL0128,19.06
RB0135,BL0056,35.08
RB0135,BL0152,23.39
RB0136,BL0170,126.92
RB0136,BL0160,84.61
RB0137,BL0018,153.65
RB0138,BL0062,78.35
RB0139,BL0076,173.79
RB0139,BL0138,115.86
RB0140,BL0109,28.45
RB0140,BL0083,18.96
RB0141,BL0154,128.68
RB0141,BL0149,85.79
RB0142,BL0036,65.86
RB0142,BL0138,43.9
RB0143,BL0183,130.47
RB0144,BL0133,56.71
RB0145,BL0112,162.94
RB0146,BL0150,277.76
RB0147,BL0062,102.92
RB0147,BL0087,68.61
RB0148,BL0163,115.06
RB0149,BL0023,273.88
RB0150,BL0174,194.59
RB0151,BL0068,80.71
RB0152,BL0024,191.53
RB0153,BL0146,204.82
RB0154,BL0135,264.35
RB0155,BL0199,203.41
RB0156,BL0017,80.12
RB0156,BL0193,53.41
RB0157,BL0042,173.23
RB0157,BL0197,115.48
RB0158,BL0079,134.35
RB0159,BL0025,228.47
RB0160,BL0082,18.85
RB0160,BL0074,12.56
RB0161,BL0035,30.94
RB0162,BL0003,112.12
RB0163,BL0163,93.88
RB0164,BL0119,62.47
RB0165,BL0131,134.47
RB0166,BL0128,236.24
RB0167,BL0015,116.35
RB0168,BL0040,55.06
RB0169,BL0024,251.76
RB0170,BL0145,287.88
RB0171,BL0063,138.12
RB0172,BL0031,109.63
RB0172,BL0127,73.08
RB0173,BL0028,147.6
RB0173,BL0064,98.4
RB0174,BL0077,275.88
RB0175,BL0029,101.53
RB0176,BL0132,128.59
RB0177,BL0037,128.71
RB0178,BL0134,161.65
RB0179,BL0091,130.94
RB0180,BL0169,198.0
RB0181,BL0062,120.71
RB0182,BL0140,217.76
RB0183,BL0120,206.94
RB0184,BL0044,112.59
RB0184,BL0100,75.06
RB0185,BL0051,97.06
RB0185,BL0111,64.7
RB0186,BL0085,37.88
RB0187,BL0153,71.44
RB0187,BL0045,47.62
RB0188,BL0046,138.0
RB0189,BL0169,286.0
RB0190,BL0068,176.19
RB0190,BL0165,117.46
RB0191,BL0144,243.06
RB0192,BL0040,244.47
RB0193,BL0173,220.12
RB0194,BL0010,162.35
RB0195,BL0159,137.57
RB0195,BL0109,91.72
RB0196,BL0057,182.47
RB0197,BL0139,46.87
RB0197,BL0187,31.25
RB0198,BL0149,88.71
RB0199,BL0108,174.0
RB0200,BL0100,96.92
RB0200,BL0140,64.61
